Table with row headers in column A and column headers in row 4,,,,,,,,,,,
"CORE BASED STATISTICAL AREAS (CBSAs) AND COMBINED STATISTICAL AREAS (CSAs), ",,,,,,,,,,,
DECEMBER 2009,,,,,,,,,,,
CBSA Code,Metro Division Code,CSA Code,CBSA Title,Level of CBSA,"Status, 1=metro 2=micro",Metropolitan Division Title,CSA Title,Component Name,State,FIPS,County Status
11700,,120,"Asheville, NC",Metropolitan Statistical Area,1,,"Asheville-Brevard, NC",Madison County,North Carolina,37115,Outlying
11740,,,"Ashland, OH",Micropolitan Statistical Area,2,,,Ashland County,Ohio,39005,Central
11780,,184,"Ashtabula, OH",Micropolitan Statistical Area,2,,"Cleveland-Akron-Elyria, OH",Ashtabula County,Ohio,39007,Central
11820,,,"Astoria, OR",Micropolitan Statistical Area,2,,,Clatsop County,Oregon,41007,Central
11860,,312,"Atchison, KS",Micropolitan Statistical Area,2,,"Kansas City-Overland Park-Kansas City, MO-KS",Atchison County,Kansas,20005,Central
11900,,,"Athens, OH",Micropolitan Statistical Area,2,,,Athens County,Ohio,39009,Central
11940,,174,"Athens, TN",Micropolitan Statistical Area,2,,"Chattanooga-Cleveland-Athens, TN-GA",McMinn County,Tennessee,47107,Central
11980,,206,"Athens, TX",Micropolitan Statistical Area,2,,"Dallas-Fort Worth, TX",Henderson County,Texas,48213,Central
12020,,,"Athens-Clarke County, GA",Metropolitan Statistical Area,1,,,Clarke County,Georgia,13059,Central
12020,,,"Athens-Clarke County, GA",Metropolitan Statistical Area,1,,,Madison County,Georgia,13195,Outlying
12020,,,"Athens-Clarke County, GA",Metropolitan Statistical Area,1,,,Oconee County,Georgia,13219,Central
12020,,,"Athens-Clarke County, GA",Metropolitan Statistical Area,1,,,Oglethorpe County,Georgia,13221,Outlying
12060,,122,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,1,,"Atlanta-Sandy Springs-Gainesville, GA-AL",Barrow County,Georgia,13013,Outlying
12060,,122,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,1,,"Atlanta-Sandy Springs-Gainesville, GA-AL",Bartow County,Georgia,13015,Outlying
12060,,122,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,1,,"Atlanta-Sandy Springs-Gainesville, GA-AL",Butts County,Georgia,13035,Outlying
12060,,122,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,1,,"Atlanta-Sandy Springs-Gainesville, GA-AL",Carroll County,Georgia,13045,Outlying
12060,,122,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,1,,"Atlanta-Sandy Springs-Gainesville, GA-AL",Cherokee County,Georgia,13057,Central
12060,,122,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,1,,"Atlanta-Sandy Springs-Gainesville, GA-AL",Clayton County,Georgia,13063,Central
12060,,122,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,1,,"Atlanta-Sandy Springs-Gainesville, GA-AL",Cobb County,Georgia,13067,Central
12060,,122,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,1,,"Atlanta-Sandy Springs-Gainesville, GA-AL",Coweta County,Georgia,13077,Central
12060,,122,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,1,,"Atlanta-Sandy Springs-Gainesville, GA-AL",Dawson County,Georgia,13085,Outlying
